latitude,longitude
51.0881572,-114.1309820
51.1064546,-114.1619808
51.1414761,-114.1302150
51.0145538,-114.1680533
51.1158258,-114.0693725
51.1270894,-114.0723930
51.0987332,-114.0408668
51.1406324,-114.0686256
51.0587285,-114.0143170
51.1552300,-114.0577683
51.1015674,-114.0726765
51.0649276,-114.0633139
50.9425463,-114.0478356
50.9785930,-114.0136730
51.0479541,-114.1867775
51.0828533,-113.9827794
50.9172316,-113.9598150
51.0993572,-113.9623740
51.0685385,-113.9332340
51.0377041,-114.1684391
51.0190173,-114.1588350
51.0206948,-114.1419949
51.1616702,-114.1250401
51.1616702,-114.1227490
51.0554973,-114.0855104
51.1122421,-114.0559900
50.9245164,-114.0724850
51.0616364,-113.9840227
51.0536567,-113.9785140
50.9303375,-113.9637272
51.1072093,-113.9699136
51.1070543,-113.9693394
51.0478599,-114.0826967
50.9614738,-114.0855080
51.0372286,-113.9634311
50.9741580,-114.0972423
51.0411350,-114.1391053
51.0414979,-114.0605577
50.8815339,-113.9588322
51.1237084,-114.2008593
50.9301809,-113.9648630
51.1116394,-113.9451717
50.9705791,-114.0708567
50.9626515,-114.0078640
51.0433799,-114.1397600
51.1755949,-114.1097110
51.0383279,-113.9085985
51.1015799,-114.1382038
51.1014901,-114.1402873
50.9029145,-114.0635190
50.9630484,-114.0602304
50.9310499,-114.0250569
50.9052364,-114.1132540
51.0845001,-114.1565250
50.9343241,-113.9645890
50.9404387,-114.1190648
50.9863785,-114.0724139
51.1113928,-114.0558825
51.0734408,-114.0565610
51.0719606,-114.0621891
51.0703154,-114.0566459
51.0852125,-113.9557470
51.0395894,-114.0305383
51.0964044,-114.0529397
51.0197631,-114.1626145
51.0259828,-113.8394161
51.1244485,-113.9477124
51.1690875,-114.1476849
51.1275562,-114.1967844
51.0446032,-114.0925340
51.1243621,-113.9333512
51.0241913,-114.1091794
51.1069381,-113.9748632
51.0382891,-114.0822770
51.0474441,-114.0550560
51.1112638,-114.0398913
51.1421750,-114.0710613
51.0697220,-113.9874501
51.1330570,-113.9519030
51.0829440,-113.9844468
51.0919485,-113.9389428
51.0773341,-114.1469739
51.1811637,-114.1576710
50.8629064,-114.0278472
51.0093932,-114.0817000
51.0821326,-114.1869185
51.0674124,-114.1158017
51.0822320,-113.9936580
51.0092256,-114.0633824
51.0631002,-113.9926810
50.9493624,-114.0854111
51.1267426,-114.1964471
51.0732494,-113.9846930
51.0785986,-114.1948198
51.0364759,-113.9887755
51.1048868,-114.1883256
51.1650201,-113.9626950
51.0454885,-114.0882539
51.0526980,-114.1032517
51.0454316,-114.0688944
51.1207709,-114.1798747
51.0399782,-114.0606092
50.9840066,-114.0495488
50.9902906,-114.0411187
51.0410307,-114.2088683
51.1468704,-113.9690641
51.0910954,-113.9569055
51.0703692,-114.0876063
51.0381440,-113.9638870
51.0611588,-113.9807779
51.0640013,-113.9558840
51.0641288,-113.9558840
51.0524967,-113.9577721
51.0544830,-113.9546870
51.0597902,-113.9748899
51.0516012,-113.9790453
51.0826323,-114.0961758
51.0666584,-114.0638739
51.1262627,-114.2010407
51.1514701,-114.2129211
51.1027845,-114.1463791
51.0561862,-114.0852275
51.1115303,-114.0399562
51.0690594,-113.9840482
51.1364661,-114.1612500
51.1125447,-114.0538887
51.0749324,-114.1660560
51.0195418,-114.1743460
51.1536502,-114.2133909
51.1620464,-114.0695223
51.0786732,-114.0027699
51.0444758,-114.0915055
51.0227302,-114.1166094
51.0019920,-114.0608364
51.1075383,-114.0377994
50.9342962,-113.9671668
50.9009189,-114.0612771
50.9100168,-114.0676441
50.9055814,-114.0642941
50.9527268,-114.0616485
51.1097342,-113.9716545
50.9153449,-114.0721641
50.9845215,-114.0142984
51.0423535,-114.0801055
50.9618507,-114.0743856
50.9745490,-114.0692810
50.9841021,-114.0461122
50.9853359,-114.0461596
50.9864624,-114.0419259
50.8808844,-113.9766776
51.0303014,-114.0726549
50.9961210,-114.1195466
51.0435589,-114.0882233
51.0372224,-113.9607915
50.8794262,-114.0732643
50.8749421,-114.0386663
51.0653292,-113.9561700
51.1578039,-114.1574799
51.0442941,-113.9682811
51.0726926,-113.9995245
51.0366289,-113.9693427
51.0511291,-113.8260058
51.0385571,-113.9108803
51.1236489,-113.9452598
50.9288807,-114.0288951
51.0388063,-114.0944646
50.8747442,-113.9604418
51.1671509,-114.0887216
50.8973252,-113.9411521
51.1698193,-114.1516389
51.1734904,-114.1569122
51.0365767,-113.9810533
50.8955064,-113.9443264
51.0970506,-114.1438268
51.0680355,-113.9887715
51.0883457,-114.1308335
51.0797407,-114.1967007
51.1247775,-114.2486203
51.1559761,-113.9392908
51.0527249,-114.1196140
51.0683382,-114.0609944
51.0675530,-114.0509315
51.0389068,-113.9880793
50.9984277,-114.0661794
51.0385250,-114.1395213
51.1471292,-114.2563460
51.0412733,-114.2133930
51.0410148,-114.2088605
51.1832365,-114.0937824
51.0584008,-114.2127856
51.0600126,-114.2102220
50.9743995,-114.0726757
51.0986600,-114.1444330
51.1268579,-114.0693079
51.0656871,-114.1029977
51.0853349,-114.1241555
51.0372000,-113.8472419
