latitude,longitude
51.0783651,-114.1283072
51.0466951,-113.9975932
51.0984284,-114.0870241
51.1553459,-114.0563728
51.0558277,-113.9873881
50.9750191,-114.1194131
51.1047114,-114.1614171
51.0856939,-114.1252658
51.1013279,-114.1401594
50.9452589,-114.0688882
50.9309737,-114.0647309
50.9052500,-114.1110027
50.9052507,-114.1110916
50.9404769,-114.0689545
50.9792093,-114.0839590
50.9792093,-114.0838726
50.9790098,-114.0838090
50.9321551,-113.9599000
50.9130957,-114.0617140
50.9139639,-114.0631413
51.0332897,-114.0457017
51.0333014,-114.0760901
51.0844479,-114.2226555
51.0521398,-114.0540097
50.9624753,-114.0869466
51.0272167,-114.1009577
51.0894369,-114.2020045
51.0467453,-114.0005088
51.1174895,-114.1842671
51.0468575,-114.0849531
51.1424947,-114.0716720
51.0394277,-114.0492605
51.1334712,-113.9515571
51.1334672,-113.9494158
51.1335489,-113.9495625
51.0620778,-114.2106040
51.0622580,-114.2094599
51.0667332,-114.2091356
51.1819928,-114.1593856
51.1653943,-114.2079828
51.0968646,-114.1378970
51.0963513,-114.1379050
51.0421685,-114.0828540
51.0607656,-114.1804616
51.0498210,-113.8275645
51.0238659,-114.1039875
51.0345931,-114.0194499
51.0366022,-114.1417531
51.0887346,-114.1331226
51.0887272,-114.1331805
51.0871869,-114.0003215
51.0421789,-114.1405624
51.0433943,-114.0941839
51.0376538,-114.1232103
50.8627582,-114.0105529
51.0375478,-114.0950379
51.1272737,-114.2011044
50.9150038,-113.9612758
50.9908560,-114.0690072
51.0319603,-114.0949272
51.1296188,-114.2041279
51.1394186,-114.2338236
51.1389508,-114.2335228
51.0706640,-114.0942205
50.8617827,-114.0254094
51.1233918,-114.2029936
51.0949707,-114.0627848
51.0502989,-114.0078563
51.0375906,-114.0243700
50.9712695,-114.0785010
51.0500136,-113.9912829
50.9560463,-114.0708566
51.0687804,-114.1191916
51.0712949,-114.1090015
51.0749897,-114.1360636
51.0115764,-114.1302855
51.1128077,-114.0702456
51.1114640,-114.0704054
51.1183654,-114.0622701
51.1207230,-114.0616011
51.1113379,-114.0677184
51.0854782,-114.0884257
51.1675856,-114.0605640
51.1133280,-113.9576753
51.1594894,-114.2216311
50.9431568,-114.1318237
51.1017234,-114.0666587
51.0631157,-114.0816769
51.0631714,-114.0892548
51.0620359,-114.0915546
51.1391632,-114.1041460
51.0313496,-114.1521213
51.1065809,-114.1513890
51.0831228,-114.1917902
