source,listing_id,address,community,property_type,bedrooms,bathrooms,price,sqft,lot_size,year_built,garage,basement,listing_date,days_on_market,agent_name,agent_phone,status
Realtor.ca,RL-10021,145 Saddleridge Dr NE,Saddleridge,Detached,4,3,"$649,900",2210,4500,2005,Double Attached,Finished,2024-03-01,55,Sarah Thompson,403-555-0192,For Sale
Realtor.ca,RL-10022,37 Evanspark Circ NW,Evanston,Detached,3,2.5,"$589,000",1980,3800,2011,Double Attached,Unfinished,2024-02-15,69,Mike Patel,403-555-0141,For Sale
Realtor.ca,RL-10023,902 Panorama Hills Dr NW,Panorama Hills,Semi-Detached,3,2,"$479,500",1650,2800,2003,Single Attached,Unfinished,2024-03-10,47,Rachel Kim,403-555-0178,For Sale
Realtor.ca,RL-10024,2204 17 St SW,Bankview,Detached,2,1,"$725,000",1200,4100,1952,None,None,2024-01-22,88,Carlos Ramirez,403-555-0193,For Sale
Realtor.ca,RL-10025,55 Mahogany Lake SE,Mahogany,Detached,4,3.5,"$899,000",2800,5200,2018,Triple Attached,Finished,2024-03-05,52,Sarah Thompson,403-555-0192,For Sale
Realtor.ca,RL-10026,310 Legacy Village Rd SE,Legacy,Row/Townhouse,3,2.5,"$449,900",1720,N/A,2020,Single Attached,Unfinished,2024-02-28,58,James Nguyen,403-555-0165,For Sale
Realtor.ca,RL-10027,17 Tuscany Ridge Hts NW,Tuscany,Detached,5,3,"$799,000",2950,5600,2001,Double Attached,Finished,2024-01-30,86,Angela Brooks,403-555-0134,For Sale
Realtor.ca,RL-10028,44 Copperfield Blvd SE,Copperfield,Detached,3,2,"$539,000",1840,3900,2008,Double Attached,Unfinished,2024-03-15,42,Mike Patel,403-555-0141,For Sale
Realtor.ca,RL-10029,820 Cranston Ave SE,Cranston,Semi-Detached,4,3,"$599,900",2100,3400,2015,Double Attached,Finished,2024-02-10,75,Rachel Kim,403-555-0178,For Sale
Realtor.ca,RL-10030,63 Auburn Shores Landng SE,Auburn Bay,Detached,4,3.5,"$1,050,000",3100,5800,2016,Triple Attached,Finished,2024-01-15,100,Carlos Ramirez,403-555-0193,For Sale
Realtor.ca,RL-10031,15 Sage Meadows Circ NW,Sage Hill,Row/Townhouse,2,2,"$389,000",1350,N/A,2019,Single Attached,None,2024-03-20,37,James Nguyen,403-555-0165,For Sale
Realtor.ca,RL-10032,4512 Bowness Rd NW,Bowness,Detached,3,1,"$679,000",1100,5000,1958,Single Detached,None,2024-02-01,83,Angela Brooks,403-555-0134,For Sale
Realtor.ca,RL-10033,,Renfrew,Detached,3,2,"$759,000",1450,4200,1962,Single Detached,Finished,2024-03-08,49,,403-555-0155,For Sale
Realtor.ca,RL-10034,78 Chaparral Valley Dr SE,Chaparral,Detached,4,3,"$669,000",2350,4800,2013,Double Attached,Finished,2024-02-22,63,Sarah Thompson,403-555-0192,For Sale
